ticker,date,open,high,low,close
NZDBRL,1995-01-03,0.5408,0.5408,0.5408,0.5408
NZDBRL,1995-01-04,0.5395,0.5395,0.5395,0.5395
NZDBRL,1995-01-05,0.5374,0.5374,0.5374,0.5374
NZDBRL,1995-01-06,0.5351,0.5351,0.5351,0.5351
NZDBRL,1995-01-09,0.5372,0.5372,0.5372,0.5372
NZDBRL,1995-01-10,0.5425,0.5425,0.5425,0.5425
NZDBRL,1995-01-11,0.5458,0.5458,0.5458,0.5458
NZDBRL,1995-01-12,0.5418,0.5418,0.5418,0.5418
NZDBRL,1995-01-13,0.5407,0.5407,0.5407,0.5407
NZDBRL,1995-01-16,0.5404,0.5404,0.5404,0.5404
NZDBRL,1995-01-17,0.541,0.541,0.541,0.541
NZDBRL,1995-01-18,0.541,0.541,0.541,0.541
NZDBRL,1995-01-19,0.5444,0.5444,0.5444,0.5444
NZDBRL,1995-01-20,0.5443,0.5443,0.5443,0.5443
NZDBRL,1995-01-23,0.5472,0.5472,0.5472,0.5472
NZDBRL,1995-01-24,0.5493,0.5493,0.5493,0.5493
NZDBRL,1995-01-25,0.5485,0.5485,0.5485,0.5485
NZDBRL,1995-01-26,0.5428,0.5428,0.5428,0.5428
NZDBRL,1995-01-27,0.5408,0.5408,0.5408,0.5408
NZDBRL,1995-01-30,0.5409,0.5409,0.5409,0.5409
NZDBRL,1995-01-31,0.5376,0.5376,0.5376,0.5376
NZDBRL,1995-02-01,0.5383,0.5383,0.5383,0.5383
NZDBRL,1995-02-02,0.5375,0.5375,0.5375,0.5375
NZDBRL,1995-02-03,0.5347,0.5347,0.5347,0.5347
NZDBRL,1995-02-06,0.5283,0.5283,0.5283,0.5283
NZDBRL,1995-02-07,0.5277,0.5277,0.5277,0.5277
NZDBRL,1995-02-08,0.5269,0.5269,0.5269,0.5269
NZDBRL,1995-02-09,0.5271,0.5271,0.5271,0.5271
NZDBRL,1995-02-10,0.5291,0.5291,0.5291,0.5291
NZDBRL,1995-02-13,0.5273,0.5273,0.5273,0.5273
NZDBRL,1995-02-14,0.5283,0.5283,0.5283,0.5283
NZDBRL,1995-02-15,0.5346,0.5346,0.5346,0.5346
NZDBRL,1995-02-16,0.5356,0.5356,0.5356,0.5356
NZDBRL,1995-02-17,0.5441,0.5441,0.5441,0.5441
NZDBRL,1995-02-20,0.5304,0.5304,0.5304,0.5304
NZDBRL,1995-02-21,0.5355,0.5355,0.5355,0.5355
NZDBRL,1995-02-22,0.5388,0.5388,0.5388,0.5388
NZDBRL,1995-02-23,0.5356,0.5356,0.5356,0.5356
NZDBRL,1995-02-24,0.5395,0.5395,0.5395,0.5395
NZDBRL,1995-02-27,0.5411,0.5411,0.5411,0.5411
NZDBRL,1995-02-28,0.5393,0.5393,0.5393,0.5393
NZDBRL,1995-03-01,0.5399,0.5399,0.5399,0.5399
NZDBRL,1995-03-02,0.541,0.541,0.541,0.541
NZDBRL,1995-03-03,0.5487,0.5487,0.5487,0.5487
NZDBRL,1995-03-06,0.5571,0.5571,0.5571,0.5571
NZDBRL,1995-03-07,0.5726,0.5726,0.5726,0.5726
NZDBRL,1995-03-08,0.5731,0.5731,0.5731,0.5731
NZDBRL,1995-03-09,0.5715,0.5715,0.5715,0.5715
NZDBRL,1995-03-10,0.5704,0.5704,0.5704,0.5704
NZDBRL,1995-03-13,0.5737,0.5737,0.5737,0.5737
NZDBRL,1995-03-14,0.5731,0.5731,0.5731,0.5731
NZDBRL,1995-03-15,0.5761,0.5761,0.5761,0.5761
NZDBRL,1995-03-16,0.5859,0.5859,0.5859,0.5859
NZDBRL,1995-03-17,0.5814,0.5814,0.5814,0.5814
NZDBRL,1995-03-20,0.5892,0.5892,0.5892,0.5892
NZDBRL,1995-03-21,0.5809,0.5809,0.5809,0.5809
NZDBRL,1995-03-22,0.5864,0.5864,0.5864,0.5864
NZDBRL,1995-03-23,0.5887,0.5887,0.5887,0.5887
NZDBRL,1995-03-24,0.5916,0.5916,0.5916,0.5916
NZDBRL,1995-03-27,0.5903,0.5903,0.5903,0.5903
NZDBRL,1995-03-28,0.5904,0.5904,0.5904,0.5904
NZDBRL,1995-03-29,0.5876,0.5876,0.5876,0.5876
NZDBRL,1995-03-30,0.586,0.586,0.586,0.586
NZDBRL,1995-03-31,0.5898,0.5898,0.5898,0.5898
NZDBRL,1995-04-03,0.5925,0.5925,0.5925,0.5925
NZDBRL,1995-04-04,0.5891,0.5891,0.5891,0.5891
NZDBRL,1995-04-05,0.5902,0.5902,0.5902,0.5902
NZDBRL,1995-04-06,0.5894,0.5894,0.5894,0.5894
NZDBRL,1995-04-07,0.5965,0.5965,0.5965,0.5965
NZDBRL,1995-04-10,0.5977,0.5977,0.5977,0.5977
NZDBRL,1995-04-11,0.5974,0.5974,0.5974,0.5974
NZDBRL,1995-04-12,0.6052,0.6052,0.6052,0.6052
NZDBRL,1995-04-13,0.612,0.612,0.612,0.612
NZDBRL,1995-04-14,0.6101,0.6101,0.6101,0.6101
NZDBRL,1995-04-18,0.6093,0.6093,0.6093,0.6093
NZDBRL,1995-04-19,0.6111,0.6111,0.6111,0.6111
NZDBRL,1995-04-20,0.6166,0.6166,0.6166,0.6166
NZDBRL,1995-04-21,0.6116,0.6116,0.6116,0.6116
NZDBRL,1995-04-24,0.614,0.614,0.614,0.614
NZDBRL,1995-04-25,0.6207,0.6207,0.6207,0.6207
NZDBRL,1995-04-26,0.6124,0.6124,0.6124,0.6124
NZDBRL,1995-04-27,0.6181,0.6181,0.6181,0.6181
NZDBRL,1995-04-28,0.6135,0.6135,0.6135,0.6135
NZDBRL,1995-05-04,0.6128,0.6128,0.6128,0.6128
NZDBRL,1995-05-05,0.6087,0.6087,0.6087,0.6087
NZDBRL,1995-05-09,0.6058,0.6058,0.6058,0.6058
NZDBRL,1995-05-10,0.6003,0.6003,0.6003,0.6003
NZDBRL,1995-05-11,0.6,0.6,0.6,0.6
NZDBRL,1995-05-12,0.5934,0.5934,0.5934,0.5934
NZDBRL,1995-05-15,0.5885,0.5885,0.5885,0.5885
NZDBRL,1995-05-16,0.59,0.59,0.59,0.59
NZDBRL,1995-05-17,0.5934,0.5934,0.5934,0.5934
NZDBRL,1995-05-18,0.5882,0.5882,0.5882,0.5882
NZDBRL,1995-05-19,0.5852,0.5852,0.5852,0.5852
NZDBRL,1995-05-22,0.5821,0.5821,0.5821,0.5821
NZDBRL,1995-05-23,0.5872,0.5872,0.5872,0.5872
NZDBRL,1995-05-24,0.5859,0.5859,0.5859,0.5859
NZDBRL,1995-05-25,0.5941,0.5941,0.5941,0.5941
NZDBRL,1995-05-26,0.6012,0.6012,0.6012,0.6012
NZDBRL,1995-05-29,0.599,0.599,0.599,0.599
NZDBRL,1995-05-30,0.6054,0.6054,0.6054,0.6054
NZDBRL,1995-05-31,0.6036,0.6036,0.6036,0.6036
NZDBRL,1995-06-01,0.6011,0.6011,0.6011,0.6011
NZDBRL,1995-06-02,0.6039,0.6039,0.6039,0.6039
NZDBRL,1995-06-05,0.6036,0.6036,0.6036,0.6036
NZDBRL,1995-06-06,0.6087,0.6087,0.6087,0.6087
NZDBRL,1995-06-07,0.6125,0.6125,0.6125,0.6125
NZDBRL,1995-06-08,0.6109,0.6109,0.6109,0.6109
NZDBRL,1995-06-09,0.6134,0.6134,0.6134,0.6134
NZDBRL,1995-06-12,0.6135,0.6135,0.6135,0.6135
NZDBRL,1995-06-13,0.614,0.614,0.614,0.614
NZDBRL,1995-06-14,0.6086,0.6086,0.6086,0.6086
NZDBRL,1995-06-16,0.6086,0.6086,0.6086,0.6086
NZDBRL,1995-06-19,0.6125,0.6125,0.6125,0.6125
NZDBRL,1995-06-20,0.6152,0.6152,0.6152,0.6152
NZDBRL,1995-06-21,0.6182,0.6182,0.6182,0.6182
NZDBRL,1995-06-22,0.6163,0.6163,0.6163,0.6163
NZDBRL,1995-06-23,0.6159,0.6159,0.6159,0.6159
NZDBRL,1995-06-26,0.6172,0.6172,0.6172,0.6172
NZDBRL,1995-06-27,0.6171,0.6171,0.6171,0.6171
